# image name,latitude [decimal degrees],longitude [decimal degrees],altitude [meter],omega [degrees],phi [degrees],kappa [degrees],accuracy horizontal [meter],accuracy vertical [meter]
21_06_15_Wingtra_Low_2_Flight_01_00039.JPG,27.6734453572000945,-97.1697151643501655,71.18427277,-8.56512098,-24.32020694,-10.41004673,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00040.JPG,27.6732865274552822,-97.1695156666049229,71.69139099,5.20132022,4.73347387,166.31678996,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00041.JPG,27.6731632837858186,-97.1695990940858394,71.69723511,5.27135185,-0.54718903,167.14266469,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00042.JPG,27.6730379443843404,-97.1696842625928809,71.14710999,3.33455795,-0.68210054,163.80145161,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00043.JPG,27.6729148823339699,-97.1697699212771653,71.15889740,3.90931646,-0.61209353,164.44597341,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00044.JPG,27.6727912444427133,-97.1698563018441916,70.70236969,2.81619567,-0.02190538,165.59563736,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00045.JPG,27.6726689469228795,-97.1699430802574113,70.68624878,2.60255397,-0.24644320,164.01440373,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00046.JPG,27.6725471993663561,-97.1700311744512817,70.65942383,2.52759730,0.85917255,163.06870120,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00047.JPG,27.6724261751813252,-97.1701171724409676,70.64976501,2.76516289,0.88078645,163.45502511,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00048.JPG,27.6723013206961070,-97.1702026197644528,70.56927490,2.13690904,0.16632625,163.37959903,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00049.JPG,27.6721794991079015,-97.1702871329731721,71.04746246,2.38170454,-0.06293672,161.33789486,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00050.JPG,27.6720578794920904,-97.1703742443232699,71.30077362,5.08264005,1.72584808,162.38804795,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00051.JPG,27.6719335487893972,-97.1704609836378239,71.06512451,2.54187225,-1.00179093,162.38973264,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00052.JPG,27.6718127826200657,-97.1705493801935347,71.37444305,4.62557064,3.01093239,163.20844135,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00053.JPG,27.6716898975937404,-97.1706334454695480,71.39563751,3.55403974,-0.19968755,165.32322355,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00054.JPG,27.6715658301924101,-97.1707189081210885,71.23614502,2.46331313,-2.25096240,163.69863950,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00055.JPG,27.6714453701405709,-97.1708064572246570,71.16864777,3.02384054,0.92861465,162.04330888,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00056.JPG,27.6713242671435964,-97.1708957175362968,71.11300659,3.78745548,2.34017228,164.56947881,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00057.JPG,27.6712006624471343,-97.1709817956710395,70.89276886,3.28062741,2.54673059,167.15776001,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00058.JPG,27.6710777912893242,-97.1710650131258831,70.90297699,2.47518723,-1.12880853,166.06503065,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00059.JPG,27.6709540418541771,-97.1711514268784669,70.73539734,1.64153566,0.18285470,165.14459221,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00060.JPG,27.6708326619839404,-97.1712394458261173,70.94810486,2.89984028,1.48117545,165.55955159,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00061.JPG,27.6707102442123976,-97.1713251927940433,70.67690277,2.42763010,0.73959818,165.64263063,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00062.JPG,27.6705868041970007,-97.1714116717348304,70.55498505,1.93337404,0.64473428,165.76557250,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00063.JPG,27.6704648187174840,-97.1714975006694175,70.55730438,2.15393467,0.64706817,164.63803617,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00064.JPG,27.6703423292269441,-97.1715847910205355,70.53665924,2.42977950,1.65157697,163.87659243,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00065.JPG,27.6702195200834318,-97.1716721637820626,70.87500763,2.86754490,0.75062365,164.03533577,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00066.JPG,27.6700968731526871,-97.1717570562169328,71.08156586,3.25770223,0.30573579,163.87624547,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00067.JPG,27.6699729456496506,-97.1718418899476148,71.32764435,3.13103472,-0.40241511,164.16933939,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00068.JPG,27.6698511163418068,-97.1719285563320625,71.53682709,3.70007159,-0.14214095,160.27868042,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00069.JPG,27.6697281695507193,-97.1720163981857894,71.76858521,4.14633770,0.23055358,160.35400118,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00070.JPG,27.6696063877178311,-97.1721027647672173,71.55458069,4.96564610,0.55115726,161.48466362,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00071.JPG,27.6694830012214190,-97.1721878376710180,71.57086182,3.79426980,-0.46297041,162.89465577,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00072.JPG,27.6693596240197444,-97.1722735115102267,71.68408966,5.12530796,-0.16287059,163.67133992,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00073.JPG,27.6692363490037678,-97.1723594893126545,71.32406616,3.91003422,-0.75619262,162.90064626,5.00,10.00
21_06_15_Wingtra_Low_2_Flight_01_00074.JPG,27.6691146622514630,-97.1724466681748709,71.07460785,3.54389059,-0.80850278,161.37351536,5.00,10.00
