# image name,latitude [decimal degrees],longitude [decimal degrees],altitude [meter],omega [degrees],phi [degrees],kappa [degrees],accuracy horizontal [meter],accuracy vertical [meter]
21_06_15_Wingtra_High_Flight_01_00083.JPG,27.6712412533216394,-97.1701890235594590,102.27355313,3.80499556,0.48110895,162.43651491,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00084.JPG,27.6710441885479419,-97.1703276985049200,102.58294305,4.09558816,-0.42568064,161.62385149,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00085.JPG,27.6708489926870165,-97.1704659775956259,102.19101622,4.42433118,-0.61847407,160.11339810,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00086.JPG,27.6706569169118168,-97.1706032557570012,101.80344818,2.93680427,-0.10339870,159.57397994,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00087.JPG,27.6704657091368844,-97.1707422250810993,101.84844431,3.71403602,1.39524430,159.93440714,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00088.JPG,27.6702637003993921,-97.1708828854555406,102.20860821,3.55120048,0.68541130,162.26932453,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00089.JPG,27.6700691903870180,-97.1710223114325800,102.22106274,3.91330768,0.47390543,158.85426207,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00090.JPG,27.6698808446945073,-97.1711601580908564,102.60441214,4.67882928,-0.02767075,161.07031639,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00091.JPG,27.6696887431389236,-97.1712997706352013,102.74229763,4.62082051,-0.92847767,158.69137142,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00092.JPG,27.6695026169898810,-97.1714429140171774,102.38926924,4.32961140,0.73400662,157.23390770,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00093.JPG,27.6693101176714435,-97.1715898304769041,102.16462052,3.78891563,1.96261972,158.30081818,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00094.JPG,27.6691181684350447,-97.1717266398053852,101.92139278,3.28784025,0.56133882,159.93244642,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00095.JPG,27.6689194059341226,-97.1718666131435072,101.64699940,1.99404440,0.18941603,159.59689334,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00096.JPG,27.6687267075512082,-97.1720069300158400,102.17152530,3.85560837,2.03029566,161.26041424,0.03,0.05
21_06_15_Wingtra_High_Flight_01_00097.JPG,27.6685397773092880,-97.1721621604760770,102.03020064,-12.57655625,-21.15838222,139.35043177,0.03,0.03
21_06_15_Wingtra_High_Flight_01_00098.JPG,27.6683588145344679,-97.1719465121570920,102.39792998,1.72124870,7.51363505,-44.17946212,0.02,0.04
21_06_15_Wingtra_High_Flight_01_00099.JPG,27.6685608306685573,-97.1718060824375698,102.27220899,-2.97482636,1.47142748,-48.78634699,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00100.JPG,27.6687514349081205,-97.1716679582493157,102.67286556,-4.42763113,0.39197576,-47.43549731,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00101.JPG,27.6689489816523633,-97.1715301918932397,102.96742501,-5.03599190,1.90329412,-45.89253986,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00102.JPG,27.6691470103958537,-97.1713943452887037,102.75721615,-4.52353650,2.00483109,-45.45954979,0.02,0.04
21_06_15_Wingtra_High_Flight_01_00103.JPG,27.6693468651626304,-97.1712591657789915,102.55027056,-4.59458482,2.39615091,-44.26141063,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00104.JPG,27.6695418770660204,-97.1711256139476660,102.16271271,-2.89121899,1.36808853,-44.67213850,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00105.JPG,27.6697427596979217,-97.1709863125618369,102.17615081,-2.82078211,1.59551564,-45.40533370,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00106.JPG,27.6699365196152591,-97.1708513587172149,102.19385997,-3.21500953,2.89107587,-48.05430297,0.02,0.03
21_06_15_Wingtra_High_Flight_01_00107.JPG,27.6701353740291474,-97.1707099880141811,101.75283107,-4.11743298,0.30494926,-46.59014782,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00108.JPG,27.6703309291085624,-97.1705734899259710,101.70256598,-2.21721227,1.55405740,-46.48331735,0.02,0.04
21_06_15_Wingtra_High_Flight_01_00109.JPG,27.6705310034467509,-97.1704325457629068,101.92462471,-2.83974267,1.09998159,-46.95488737,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00110.JPG,27.6707242187517579,-97.1702958595364521,102.08245409,-4.04240225,0.42151071,-47.64127523,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00111.JPG,27.6709181791592940,-97.1701608030429753,102.11800936,-3.13385781,1.41005311,-47.32820288,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00112.JPG,27.6711178919364400,-97.1700225237084396,102.15245638,-3.25959971,1.83237601,-47.33044198,0.02,0.04
21_06_15_Wingtra_High_Flight_01_00113.JPG,27.6713117310017225,-97.1698874099164556,102.00245776,-2.69247953,2.10366296,-48.18323607,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00114.JPG,27.6715100711360442,-97.1697457978918209,101.82592848,-3.30544452,1.17786582,-47.22702591,0.02,0.04
21_06_15_Wingtra_High_Flight_01_00115.JPG,27.6717040089756878,-97.1696083050694881,101.43990731,-3.36862063,-0.00890309,-47.33432255,0.03,0.03
21_06_15_Wingtra_High_Flight_01_00116.JPG,27.6719066492043311,-97.1694673864433156,101.38713007,-1.70248785,0.26722274,-47.30205133,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00117.JPG,27.6721030333543538,-97.1693299384453013,101.59758820,-1.55890726,-0.39170689,-46.66550833,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00118.JPG,27.6722982050904172,-97.1691933781116006,101.95383500,-3.82310092,-0.65227838,-46.14051313,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00119.JPG,27.6725008343056693,-97.1690540435040901,102.15193391,-1.16206735,1.89547457,-45.61459244,0.03,0.06
21_06_15_Wingtra_High_Flight_01_00120.JPG,27.6726943347574519,-97.1689154271535784,102.07408056,-2.82852471,0.87244722,-48.08514907,0.03,0.04
21_06_15_Wingtra_High_Flight_01_00121.JPG,27.6728882338922908,-97.1687764014258022,101.91709602,-2.84985380,-0.47929888,-46.09445315,0.03,0.05
